,amount,bought_amount,close,high,low,open,sold_amount,volume,datetime,instrument_id,exchange_id
486,34705807.0,13966043.0,5.67,5.95,5.65,5.93,20739764.0,6055377.0,2012-01-13,600288,SH
487,18615012.0,7990876.0,5.57,5.64,5.46,5.6,10624136.0,3354438.0,2012-01-16,600288,SH
488,21707892.0,11914641.5,5.84,5.88,5.53,5.53,9793250.5,3786957.0,2012-01-17,600288,SH
489,19701220.0,7287402.0,5.71,5.96,5.68,5.85,12413818.0,3387457.0,2012-01-18,600288,SH
490,23636710.0,13915814.0,5.97,6.0,5.67,5.71,9720896.0,4030994.0,2012-01-19,600288,SH
491,17726013.0,8553102.5,5.95,6.04,5.92,5.97,9172910.5,2962880.0,2012-01-20,600288,SH
492,11495549.0,5558509.0,5.87,5.97,5.85,5.95,5937040.0,1945439.0,2012-01-30,600288,SH
493,10633249.0,5829065.0,5.88,5.92,5.75,5.9,4804184.0,1826695.0,2012-01-31,600288,SH
494,12097928.0,5104397.0,5.77,5.93,5.72,5.88,6993531.0,2080754.0,2012-02-01,600288,SH
495,12610906.0,5469893.5,5.87,5.87,5.76,5.79,7141012.5,2168882.0,2012-02-02,600288,SH
496,33684187.0,17100740.0,6.01,6.06,5.85,5.87,16583447.0,5638223.0,2012-02-03,600288,SH
497,22337968.0,11485915.0,6.04,6.08,5.97,6.02,10852053.0,3702571.0,2012-02-06,600288,SH
498,15389572.0,5300941.0,5.88,6.04,5.82,6.04,10088631.0,2609367.0,2012-02-07,600288,SH
499,20177534.0,11985952.5,6.07,6.08,5.87,5.87,8191581.5,3368860.0,2012-02-08,600288,SH
500,64500576.0,36807364.5,6.35,6.48,6.03,6.07,27693211.5,10272946.0,2012-02-09,600288,SH
501,29727720.0,13795935.0,6.33,6.46,6.23,6.3,15931785.0,4695806.0,2012-02-10,600288,SH
502,45301415.0,25698379.0,6.41,6.5,6.23,6.3,19603036.0,7098065.0,2012-02-13,600288,SH
503,36628873.0,17452712.0,6.43,6.56,6.31,6.4,19176161.0,5683795.0,2012-02-14,600288,SH
504,59218102.0,34152654.0,6.68,6.84,6.34,6.37,25065448.0,8958609.0,2012-02-15,600288,SH
505,48019390.0,20632591.0,6.59,6.85,6.52,6.61,27386799.0,7208294.0,2012-02-16,600288,SH
506,27280708.0,13038510.0,6.49,6.66,6.4,6.59,14242198.0,4195000.0,2012-02-17,600288,SH
507,31005427.0,15374616.0,6.5,6.68,6.49,6.65,15630811.0,4705550.0,2012-02-20,600288,SH
508,41845600.0,24080454.0,6.7,6.73,6.43,6.44,17765146.0,6320774.0,2012-02-21,600288,SH
509,81626813.0,45225165.0,6.92,7.03,6.63,6.67,36401648.0,11852619.0,2012-02-22,600288,SH
510,38676882.0,16177316.0,6.87,6.97,6.76,6.97,22499566.0,5630399.0,2012-02-23,600288,SH
511,41531837.0,20808003.0,6.94,7.02,6.86,6.86,20723834.0,5994260.0,2012-02-24,600288,SH
512,64304682.0,30050182.0,6.94,7.13,6.92,7.03,34254500.0,9151213.0,2012-02-27,600288,SH
513,42120154.0,16211142.0,6.84,6.93,6.74,6.9,25909012.0,6158143.0,2012-02-28,600288,SH
514,24355455.0,8895422.0,6.73,6.89,6.71,6.78,15460033.0,3584026.0,2012-02-29,600288,SH
515,42046190.0,24367503.5,6.9,7.05,6.68,6.69,17678686.5,6080711.0,2012-03-01,600288,SH
