Date	Open	High	Low	Close	Volume	Adj Close
2013/12/19	6.09	6.09	5.88	5.95	2296.14	-0.07
2013/12/20	5.96	5.99	5.92	5.92	661	-0.03
2013/12/23	5.88	5.88	5.78	5.81	1304.47	-0.11
2013/12/24	5.82	5.92	5.82	5.89	456	0.08
2013/12/25	5.96	5.96	5.87	5.94	813	0.05
2013/12/26	5.88	5.97	5.88	5.95	212	0.01
2013/12/27	6.02	6.02	5.9	5.96	533	0.01
2013/12/30	5.91	5.98	5.84	5.97	369	0.01
2013/12/31	5.98	5.99	5.94	5.96	266	-0.01
2014/1/2	5.98	6.01	5.91	6.01	807	0.05
2014/1/3	6.03	6.03	5.98	6.01	1065.46	0
2014/1/6	5.91	5.99	5.75	5.9	828.65	-0.11
2014/1/7	5.78	5.96	5.78	5.93	314	0.03
2014/1/8	5.83	5.96	5.82	5.95	364	0.02
2014/1/9	5.96	5.96	5.88	5.94	66	-0.01
2014/1/10	5.82	5.92	5.68	5.91	157	-0.03
2014/1/13	5.9	5.9	5.8	5.88	103	-0.03
2014/1/14	5.91	5.93	5.87	5.93	275	0.05
2014/1/15	5.9	6	5.8	5.93	382.45	0
2014/1/16	5.87	5.98	5.87	5.97	310	0.04
2014/1/17	5.88	5.92	5.86	5.92	196	-0.05
2014/1/20	5.82	5.99	5.8	5.85	218	-0.07
2014/1/21	5.9	5.93	5.87	5.91	319.57	0.06
2014/1/22	5.89	6.03	5.89	6.02	1052.95	0.11
2014/1/23	6.02	6.04	5.99	6	162.95	-0.02
2014/1/24	5.99	6.07	5.97	6.06	615.57	0.06
2014/1/27	5.93	6.04	5.9	5.91	783.97	-0.15
2014/1/28	5.91	6.03	5.91	6.01	620	0.1
2014/1/29	6.01	6.01	5.94	5.96	337.43	-0.05
2014/1/30	5.95	5.96	5.86	5.94	366.01	-0.02
2014/2/7	5.89	5.93	5.83	5.93	732	-0.01
2014/2/10	5.92	6.04	5.92	6.04	1170.98	0.11
2014/2/11	6.05	6.15	6.05	6.15	2245	0.11
2014/2/12	6.09	6.16	6.09	6.16	1176.8	0.01
2014/2/13	6.18	6.21	6.1	6.16	715	0
2014/2/14	6.12	6.27	6.12	6.2	2565.85	0.04
2014/2/17	6.26	6.26	5.8	6.23	2500.76	0.03
2014/2/18	6.23	6.39	6.08	6.38	8026.7	0.15
2014/2/19	6.34	6.36	6.22	6.26	2733	-0.12
2014/2/20	6.33	6.33	6.17	6.2	1775.3	-0.06
